2026/04/22 09:53:09 Connecting to SQLite: ./data/ebzer.db
2026/04/22 09:53:09 🔄 Running database migrations...
2026/04/22 09:53:09 🔄 Applying migration: 000001_create_orders_table
2026/04/22 09:53:09 ✅ Successfully applied: 000001_create_orders_table
2026/04/22 09:53:09 🔄 Applying migration: 000002_create_expense_categories_table
2026/04/22 09:53:09 ✅ Successfully applied: 000002_create_expense_categories_table
2026/04/22 09:53:09 🔄 Applying migration: 000003_create_income_table
2026/04/22 09:53:09 ✅ Successfully applied: 000003_create_income_table
2026/04/22 09:53:09 🔄 Applying migration: 000004_create_expenses_table
2026/04/22 09:53:09 ✅ Successfully applied: 000004_create_expenses_table
2026/04/22 09:53:09 🔄 Applying migration: 000005_create_user_table
2026/04/22 09:53:09 ✅ Successfully applied: 000005_create_user_table
2026/04/22 09:53:09 🔄 Applying migration: 000006_create_financial_percentages_table
2026/04/22 09:53:09 ✅ Successfully applied: 000006_create_financial_percentages_table
2026/04/22 09:53:09 ✅ All migrations completed successfully
2026/04/22 09:53:09 ✅ Migrations completed successfully
2026/04/22 09:53:09 🚀 Server starting...
2026/04/22 09:53:09    Local:   http://localhost:3000
2026/04/22 09:53:09    Network: http://0.0.0.0:3000
2026/04/22 09:53:09    Access from other devices using your machine's IP address

 ┌───────────────────────────────────────────────────┐ 
 │                  Creaciones API                   │ 
 │                  Fiber v2.52.10                   │ 
 │               http://127.0.0.1:3000               │ 
 │       (bound on host 0.0.0.0 and port 3000)       │ 
 │                                                   │ 
 │ Handlers ............ 39  Processes ........... 1 │ 
 │ Prefork ....... Disabled  PID ............ 262208 │ 
 └───────────────────────────────────────────────────┘ 

09:56:31 | 204 |       8.396µs | 172.30.112.1 | OPTIONS | /api/orders/1 | -
09:56:31 | 200 |     377.581µs | 172.30.112.1 | PUT | /api/orders/1 | -
09:56:31 | 200 |     171.349µs | 172.30.112.1 | GET | /api/orders | -
09:56:31 | 200 |     162.156µs | 172.30.112.1 | GET | /api/orders/1/payment-status | -
09:56:31 | 200 |      92.556µs | 172.30.112.1 | GET | /api/incomes | -
09:56:38 | 204 |       9.589µs | 172.30.112.1 | OPTIONS | /api/orders/1/finish | -
09:56:38 | 200 |     321.032µs | 172.30.112.1 | POST | /api/orders/1/finish | -
09:56:38 | 200 |     139.675µs | 172.30.112.1 | GET | /api/orders | -
09:56:38 | 200 |     160.876µs | 172.30.112.1 | GET | /api/orders/1/payment-status | -
09:57:04 | 200 |     216.371µs | 172.30.112.1 | GET | /api/orders | -
09:57:04 | 200 |     149.931µs | 172.30.112.1 | GET | /api/orders | -
09:57:04 | 200 |      181.15µs | 172.30.112.1 | GET | /api/orders/1/payment-status | -
09:57:04 | 200 |     141.043µs | 172.30.112.1 | GET | /api/orders/1/payment-status | -
09:57:14 | 204 |       9.186µs | 172.30.112.1 | OPTIONS | /api/orders | -
09:57:14 | 201 |     845.081µs | 172.30.112.1 | POST | /api/orders | -
09:57:14 | 200 |     303.091µs | 172.30.112.1 | GET | /api/orders | -
09:57:14 | 200 |     176.079µs | 172.30.112.1 | GET | /api/orders/2/payment-status | -
09:57:14 | 200 |     302.882µs | 172.30.112.1 | GET | /api/orders/1/payment-status | -
09:57:16 | 200 |     178.192µs | 172.30.112.1 | GET | /api/incomes | -
09:57:19 | 204 |      11.512µs | 172.30.112.1 | OPTIONS | /api/orders/2 | -
09:57:19 | 200 |     368.433µs | 172.30.112.1 | PUT | /api/orders/2 | -
09:57:19 | 200 |     252.749µs | 172.30.112.1 | GET | /api/orders | -
09:57:19 | 200 |     215.548µs | 172.30.112.1 | GET | /api/orders/1/payment-status | -
